Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
,,,,,,,,,,,,,,,,,,,,,,,
Agung,-8.342,115.108,March 1963,,3/16/1963 21:30,3142,17.5,5,5.20E+11,2.60E+11,5,1.5,4.3,2.7,0.01383084,12.4570742,0.00122387,280.8706994,698.212984,70.02411047,0.006535723," Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)",Large uncertainty on erupted mass related to quality of isopach map; we assigned a 50% uncertainty but a larger value may be appropriate.
,,,May 1963,,5/16/1963 8:30,3142,16.5,5,3.30E+11,1.70E+11,4.5,1,4.3,2.7,0.012771851,8.050964887,0.000707262,283.9797501,698.0522852,23.63253613,0.002720645," Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)",Large uncertainty on erupted mass related to quality of isopach map; we assigned a 50% uncertainty but a larger value may be appropriate.
,,,,,,,,,,,,,,,,,,,,,,,
Anatahan,16.35,145.67,2003,,5/10/2003 2:20,764,8.25,4,2.70E+10,1.30E+10,39,9,2.1,1.3,0.012084023,5.083575802,0.000826124,295.9113366,927.6187544,58.6154788,0.01097011,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005)",We assumed 50% uncertainty on erupted mass
,,,,,6/14/2003 11:00,764,2.3,0.65,9.25E+09,4.60E+09,44,4,2.1,1.3,0.011865857,3.593581738,0.00267254,296.3753691,927.877044,60.58915746,0.011679154,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Augustine,59.363,-153.43,2006,,1/17/2006 16:58,1252,12.2,1.5,1.73E+09,8.50E+08,0.07,0.02,3.2,1,0.016164692,3.596613571,0.000518881,268.4375258,852.3093675,66.26062631,0.002107823,"Wallace et al (2006), Webster et al (2006)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Bezymianny,55.972,160.595,2006,,12/24/2006 9:17,2882,10,2,5.50E+09,1.50E+09,0.88,0.25,1.9,0.8,0.017668922,11.80974434,0.002342328,249.1424573,686.0119693,82.70606981,0.000672881,"Malik (2011), Carter et al (2011), Shcherbakov et al (2011), Moseenko and Malik (2015)",Duration based on seismic observations; 15 min uncertainty arbitrarly assumed
,,,2009,,12/16/09 21:45,2882,7,4,3.40E+09,1.70E+09,2.3333,1.167,,,0.012387315,20.3831264,0.004337102,255.6183774,691.5415872,70.99806771,0.000992417,"Global Volcanism Program (December 2009), Moiseenko (2014)","No uncertainty on erupted mass: we thus assumed a 50% uncertainty. However, note that 3.4 109kg is considered as a lower estimate by Moiseenko (2014) due to the lack of proximal and distal data."
,,,,,,,,,,,,,,,,,,,,,,,
Calbuco,-41.326,-72.614,2015 phase 1,S,4/22/2015 21:04,2003,13,2.5,5.70E+10,2.40E+10,1.5,0.25,4.5,1,0.011906714,13.75560665,0.001764093,280.3535284,800.0494472,51.6411713,0.003875869,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016)",The interpretation of the timing of deposition of tephra layers is different in Romero et al. (2016) and Castruccio et al. (2016). We followed the interpretation of Castruccio et al. (2016) which is the most recent study.
,,,2015 phase 2,S,4/23/2015 3:54,2003,15,3,3.20E+11,8.30E+10,6,0.25,4.5,1,0.01319895,14.84729828,0.001577631,281.0385167,799.010446,50.65411915,0.003966926,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016)",The interpretation of the timing of deposition of tephra layers is different in Romero et al. (2016) and Castruccio et al. (2016). We followed the interpretation of Castruccio et al. (2016) which is the most recent study.
,,,,,,,,,,,,,,,,,,,,,,,
Chikurachki,50.324,155.461,1986,,11/19/1986 5:30,1815,8,3,3.20E+11,1.60E+11,86,26,2.9,2.3,0.013606874,5.227960577,0.001037202,261.2648953,797.9824495,74.62152683,0.001461466,"Global Volcanism Program (November 1986), Belousova and Belousov (2001),  Gurenko et al (2005), personnal communication with Marina Belousova and Alexander Belousov (November 2016)",
,,,,,,,,,,,,,,,,,,,,,,,
Cordon Caulle,-40.59,-72.117,2011 A-F,S,6/4/2011 18:30,1500,10.5,2,4.20E+11,9.00E+10,27,3,4.6,0.9,0.011853444,14.50049166,0.002476255,276.4044534,847.0725495,85.76432771,0.004832067,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016)",
,,,2011 H,,6/7/2011 5:00,1500,9.5,3,1.30E+11,4.00E+10,7.5,4.5,4.6,0.9,0.011451705,34.15292099,0.006093045,275.370527,834.5065787,96.07059388,0.005115487,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016)","There is a large uncertainty on the timing of this phase, and thus on the average plume height too. We assume larger uncertainties on plume height than Bonadonna et al. (2015) because the range given is for a date range that match very roughly the supposed timing for layer deposition."
,,,2011 K2,,6/7/2011 11:00,1500,6,3,2.80E+10,7.00E+09,7.5,4.5,4.6,0.9,0.010318341,29.90627438,0.007695604,274.3439448,834.3244056,96.20848595,0.004753256,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016)","There is a large uncertainty on the timing of this phase, and thus on the average plume height too. We assume larger uncertainties on plume height than Bonadonna et al. (2015) because the range given is for a date range that match very roughly the supposed timing for layer deposition."
,,,,,,,,,,,,,,,,,,,,,,,
Cerro Negro,12.506,-86.702,1968,W,10/24/68 0:00,728,1.5,1,1.30E+10,6.00E+09,1008,144,,,0.011876883,5.782478949,0.00578915,294.0173635,931.7782301,91.99059254,0.015229346,"Global Volcanism Program (1968), Hills et al (1998), Sulpizio (2005)","The uncertainty on erupted mass would be +/-0.15 1010kg based on differences between Hills et al (1998) and Sulpizio (2005), but this uncertainty seems unreallistically low and we assumed a 50% uncertainty. Hills et al (1998) report an eruption duration of 48 days, but the reported fallout duration is 42 days: we thus assume a duration of 42 days with an uncertainty of 6 days."
,,,1971,,2/3/71 16:00,728,5.3,3,4.20E+10,2.10E+10,168,24,4.1,0.9,0.013415148,5.360564475,0.001364954,293.5569016,931.2391404,88.41110923,0.01424604,"Global Volcanism Program (1971), Hills et al (1998), Sulpizio (2005), Portnyagin et al (2014)","The uncertainty on erupted mass would be +/-0.6 1010kg based on differences between Hills et al (1998) and Sulpizio (2005), but this uncertainty seems unreallistically low and we assumed a 50% uncertainty.We arbitrarly assumed an uncertainty of 1 day for the eruption duration"
,,,1992,,4/10/92 5:20,728,5,2,2.90E+10,1.40E+10,37,20,3.8,1,0.012289701,6.84853155,0.001731991,296.1991668,930.4319745,77.4983305,0.014594131,"Global Volcanism Program (1992) , Hills et al (1998), Portnyagin et al (2014)",Hills et al (1998) report a fall duration of 0.7 days but Global Volcanism Program (1992) reports almost 3 days of explosive activity so that we took a large uncertainty on eruption duration. We assumed 50% uncertainty on erupted mass.
,,,1995,W,11/29/95 0:00,728,3.5,1.5,3.50E+09,1.00E+09,78,24,3.3,2,0.013113038,6.433815836,0.002798706,294.3154707,932.3774006,87.20902809,0.01474029,"Global Volcanism Program (1995), Roggensack et al (1997), Hills et al (1998)","Hills et al (1998) suggest a start of the main phase ""by november 29"" but increasing activity in the 5 previous days, resulting again in a large uncertainty on the duration during which the ash layer was deposited. Hills et al (1998) find a volume of 2.1 without extrapolation and 2.9 106 m3 with extrapolation. When calculating the erupted mass, we thus assumed that the mean volume estimate was 2.9 106 m3 with an uncertainty of 0.8 106 m3."
,,,,,,,,,,,,,,,,,,,,,,,
Chaiten,-42.833,-72.646,2008,,5/2/2008 8:00,1122,12.5,4,4.10E+09,2.80E+09,6,2,4,,0.013035422,33.2063668,0.004735968,279.4700001,874.428328,67.72976417,0.004574902,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016) ","Quite large uncertainties on chronology and deposit interpretation, that may not be reflected in uncertainties given in Alfano et al (2011) for the erupted mass of each phase. We arbitrarily doubled their uncertainty."
,,,,,5/2/2008 20:00,1122,9,3,2.60E+11,4.00E+10,88,9,4,,0.011990596,23.24979701,0.004306058,277.1760056,860.3583077,61.338854,0.003637558,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016) ","Quite large uncertainties on chronology and deposit interpretation, that may not be reflected in uncertainties given in Alfano et al (2011) for the erupted mass of each phase. We arbitrarily doubled their uncertainty."
,,,,S,5/6/08 12:32,1122,21,5,2.25E+11,1.00E+11,5,3,4,,0.017655321,24.68961879,0.001576881,278.0340962,868.8456677,74.14289888,0.004612974,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016) ","Quite large uncertainties on chronology and deposit interpretation, that may not be reflected in uncertainties given in Alfano et al (2011) for the erupted mass of each phase. We arbitrarily doubled their uncertainty."
,,,,,,,,,,,,,,,,,,,,,,,
Cotopaxi,-0.677,-78.436,2015,,8/14/15 9:02,5987,6.5,2.5,1.58E+08,4.50E+07,10,6,,,0.010481314,4.785890672,0.001094041,266.6198075,493.2802196,70.35990323,0.003313441,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
,,,,W,8/15/15 9:00,5987,2.5,1.5,7.65E+08,1.65E+08,390,90,,,0.011705698,6.535875318,0.003654886,267.8124107,493.0277303,51.14684532,0.002647578,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
,,,,,10/2/15 0:00,5987,2,1.5,2.28E+08,5.50E+07,310,170,,,0.011923075,4.49021616,0.002622333,268.4549383,493.2023789,48.41006821,0.00261616,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
,,,,,11/4/15 0:00,5987,1.5,1,3.50E+07,6.30E+06,600,400,,,0.012394519,5.237471085,0.005482194,268.032101,492.5762074,55.70934702,0.00293015,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
,,,,,,,,,,,,,,,,,,,,,,,
El Chichon,17.36,-93.228,1982 A1,S,3/29/82 5:32,1150,18,3,7.50E+11,5.00E+11,5,0.5,7,3,0.012758774,7.583126552,0.000583872,292.4477245,888.1631014,76.95010257,0.012075681,"Global Volcanism Program ( March/April 1982), March and April, Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008)","In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
,,,1982 B,,4/4/82 1:35,1150,21.5,3.5,9.75E+11,5.00E+11,4,0.5,7,3,0.015373294,9.573327469,0.000718002,297.4710945,887.9746456,53.52129176,0.011241617,"Global Volcanism Program ( March/April 1982), March and April, Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008)","In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
,,,1982 C,,4/4/82 11:22,1150,20,4,1.00E+12,6.00E+11,7,0.5,7,3,0.01422599,9.154819723,0.000773607,295.3739713,888.2774364,62.05756166,0.011580302,"Global Volcanism Program ( March/April 1982), March and April, Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008)","In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
,,,,,,,,,,,,,,,,,,,,,,,
Etna,37.734,15.0004,july 2001,W,7/21/01 10:00,2570,1.4,1,1.65E+09,6.50E+08,86,12,2.9,1,0.012590497,11.52250432,0.012298412,280.5947394,748.922776,45.21687243,0.003870886,"Métrich et al (2004), Scollo et al (2007)","The eruption seems to end late on July 24 but we found no precise timing in the litterature, so that we assumed an end at midnight with uncertainty of 12 hours."
,,,oct 2002 A,W,10/27/02 2:00,2750,3.2,0.5,8.70E+08,4.30E+08,10,2,3,1,0.00997321,12.21931981,0.005924441,278.4469382,737.3075973,18.07781234,0.001379288,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
,,,oct 2002  B,,10/28/08 7:30,2750,4.2,0.5,9.50E+08,4.70E+08,6,2,3,1,0.012167738,14.79445292,0.005504226,276.3069262,731.5147143,80.6209346,0.005193622,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
,,,oct 2002 C,,10/31/02 12:00,2750,3.7,0.5,4.50E+08,2.20E+08,4,2,3,1,0.009390281,15.58839137,0.007311356,277.8584339,733.8997672,21.05174203,0.00151894,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
,,,oct 2002 D,,11/3/02 23:00,2750,2.9,0.5,1.40E+09,7.00E+08,18,2,3,1,0.011675584,10.67048955,0.005908412,275.4055967,724.9062466,70.42894016,0.004373843,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
,,,Nov 2006,W,11/24/06 2:30,2800,1.65,0.35,1.80E+08,6.00E+07,10,1,1,0.9,0.013458405,11.07035531,0.01010944,273.7311545,722.4940104,39.8875329,0.002186115,"Andronico et al (2009), Collins et al (2009), Andronico et al (2014)",
,,,,,,,,,,,,,,,,,,,,,,,
Eyjafjallajökull,63.633,-19.633,April-May  2010,D,4/14/10 1:00,1660,4,0.6,1.30E+11,3.00E+10,47,6,2,1,0.01213438,24.50325384,0.009628713,267.3276369,830.6824759,79.49779364,0.002368703,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Gudmundson et al (2012)",
,,,,D,4/17/10 0:00,1660,3.7,0.8,4.00E+10,1.00E+10,30,8,2,1,0.013905773,13.73183404,0.006132749,259.6677487,825.9864261,47.13275567,0.000800651,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Gudmundson et al (2012)",
,,,,W,5/4/10 18:30,1660,3.5,0.5,3.80E+10,1.50E+10,116,0.5,2,1,0.012562144,15.80788277,0.00721211,276.0178112,836.526074,53.04074878,0.00300812,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012)","Within the April 18 - May 21 period, two mass measurements are available:  Gudmundson et al. (2012) for the entire period and Bonadonna et al. (2011)  for May 4-8. We thus divided into one phase from May 4 to 8, and one phase that is the combined April 18-May 4 and May 8-May 21 periods."
,,,,W,4/18/10 6:00,1660,2.7,0.5,2.10E+11,7.00E+10,732,12,2,1,0.013128205,8.066670928,0.00491725,268.8231186,826.6312529,58.1805188,0.002125963,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012)","Within the April 18 - May 21 period, two mass measurements are available:  Gudmundson et al. (2012) for the entire period and Bonadonna et al. (2011)  for May 4-8. We thus divided into one phase from May 4 to 8, and one phase that is the combined April 18-May 4 and May 8-May 21 periods."
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fuego,14.473,-90.88,Sep 1971,,9/14/71 18:45,3763,10,5,2.30E+11,1.50E+11,10,2,,,0.010243028,5.98356451,0.000938236,279.5826996,648.5995979,34.089525,0.003099144,"Bonnis and Salazar (1973), Rose et al (1973), Sulpizio (2005)","We could only one vague visual report (Bonnis and Salazar, 1973) for plume height and thus assumed a 50% uncertainty. In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
,,,Oct 1974,S,10/14/74 8:00,3763,10,4,5.10E+10,1.60E+10,5,1,2.9,2.4,0.00993766,7.370978698,0.001153279,277.7101084,648.9104866,84.35933708,0.006762675,"Global Volcanism Program (1974),  Rose et al (1978), Murrow et al (1980), Rose et al (2008)",No uncertainty for duration; we arbitrarly assigned a 1 hour uncertainty.
,,,,,,,,,,,,,,,,,,,,,,,
Grímsvötn,64.416,-17.316,2004 C,,11/2/04 1:27,1400,8,1.5,3.24E+10,1.20E+10,18,1,,,0.011542139,26.61160375,0.005487689,274.0600216,840.3321769,95.90328053,0.004654504,"Oddsson et al (2012), Jude-Eton et al (2012)","The uncertainty on erupted mass seems low given in Jude-Eton et al (2012) seems low given that the deposit was sampled  more than a year after the eruption, and that part of the deposit may be from pyroclastic density currents. We arbitrarly double the uncertainty they report. Duration is based on seismic, plume height and visual: we assume 1h uncertainty"
,,,2004 E,,11/2/04 21:03,1400,7.4,1.5,1.22E+10,4.00E+09,13,1,,,0.011670854,23.61706097,0.005563558,273.0705094,835.5044311,98.23064119,0.00444602,"Oddsson et al (2012), Jude-Eton et al (2012)","The uncertainty on erupted mass seems low given in Jude-Eton et al (2012) seems low given that the deposit was sampled  more than a year after the eruption, and that part of the deposit may be from pyroclastic density currents. We arbitrarly double the uncertainty they report."
,,,2011,S,5/21/11 19:00,1450,10,2,7.30E+11,1.90E+11,64,16,,,0.014603595,6.59153706,0.000790481,266.8687344,836.9620966,77.99171251,0.002216665,"Global Volcanism Program (2011), Petersen et al (2012), Marzano et al (2013), Hreinsdottir et al (2014)",
,,,,,,,,,,,,,,,,,,,,,,,
Hekla,63.983,-19.666,March 1947,,3/29/47 6:51,1447,19,8,1.80E+11,9.00E+10,3,2,,,0.017972427,18.55902341,0.001934136,261.3419627,845.6620624,92.64540774,0.001692348,"Thorarinson (1950), Bonadonna and Houghton (2005)","Deposit density could not be found for this eruption, and was assumed similar to the one of later eruptions with an uncertainty of 30%."
,,,May 1970,,5/5/70 22:10,630,12.5,3.5,4.50E+10,2.20E+10,2.33,0.5,4,2,0.016102511,20.87559995,0.002745348,273.5143817,929.4605563,80.70730665,0.003376856,"Thorarinsson and Sigvaldason (1972), Baldridge et al (1973)",We assumed 50% uncertainty on erupted mass
,,,August 1980,D,8/17/80 13:27,1490,10,5,4.20E+10,2.10E+10,4,2,,,0.012745804,10.81921178,0.002159861,273.236714,846.9509501,74.06935209,0.003333033,"Gronvold et al (1983), ",We assumed 50% uncertainty on erupted mass
,,,January 1991,,1/17/91 17:00,1050,11,3,1.30E+10,6.00E+09,2,1,1.2,0.4,0.016059069,18.79448962,0.002934288,267.8257402,866.1443265,83.41220226,0.002478809,"Gudmundson et al (1992), Sulpizio (2005),  Lucic et al (2016)",We assumed 50% uncertainty on erupted mass. We found only two estimates (from Gudmundson et al 1992) for plume height (one from satelite and one from an airplane); we assumed an uncertainty of 3km on plume height despite there is only a 0.5km difference between these two estimate.
,,,February 2000,,2/26/00 18:19,1490,10,3,7.00E+09,3.50E+09,3.66,0.5,2.4,0.7,0.012922758,12.52806677,0.002529761,263.2357462,810.6642016,73.57024025,0.001639343,"Rose et al (2003), Moune et al (2007)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Mt Hudson,-45.9,-72.97,August 1991,S,8/12/92 16:00,1905,12.5,3,6.50E+12,1.80E+12,58,3,2,1,0.014493275,30.04910042,0.004013764,271.0604544,797.8218433,83.46163086,0.003532036,"Scasso et al (1994), Bonadonna and Houghton (2005), Kratzmann et al (2009), Kratzmann et al (2010), personnal communication with David Kratzmann (November 2016)",We assumed a 3 hr uncertainty on the eruption duration
,,,,,,,,,,,,,,,,,,,,,,,
Kasatochi,52.177,-175.08,August 2008,,8/8/08 4:35,300,10.7,3,2.40E+11,1.00E+11,15,4,6,0.9,0.011492727,13.16377144,0.002414494,283.2975165,978.0498716,98.35541219,0.007816182,"Izbekov et al (2009), Waythomas et al (2010), Corradini et al (2010), Bitar et al (2010)",Waythomas et al (2010) report volume estimate but not the bulk density of the deposit. We assumed a density of 1100km/m3 with a 30% uncertainty.
,,,,,,,,,,,,,,,,,,,,,,,
Kelut,-7.93,112.308,1990,,2/10/90 4:41,1731,10.3,2,8.00E+10,4.00E+10,4.5,1,,,0.011286522,5.297479968,0.000697097,289.9399855,830.5359787,67.88781492,0.009777109,"Global Volcanism Program (1990), Bourdier et al (1997)",We assumed 50% uncertainty on erupted mass
